conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/507e2b21-1285-47e9-bf09-0db794df1bf0,milieubeleid ontwikkelen,released,skill/competence,cross-sector,,Ontwikkeling van een organisatorisch beleid voor duurzame ontwikkeling en naleving van de milieuwetgeving in overeenstemming met de beleidsmechanismen die op het gebied van milieubescherming worden gebruikt.,http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d | http://data.europa.eu/esco/skill/8ed41305-4abf-4b54-9f8f-0e043d26feba,zorgen voor naleving van de milieuwetgeving | beleid en wetgeving ontwikkelen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/509ff122-3546-40a7-ae02-3ee7395b3a76,wetgeving inzake wegvervoer,released,knowledge,sector-specific,wetgeving inzake wegtransport,"Beschikken over kennis van de regelgeving voor het wegvervoer op regionaal, nationaal en Europees niveau op het gebied van veiligheid en milieu.",http://data.europa.eu/esco/isced-f/0421,recht
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/50ac5186-bb18-4ffb-9f29-00636853c8ea,zonne-energiesystemen ontwerpen,released,skill/competence,sector-specific,,Ontwikkelen van ontwerpspecificaties voor systemen voor zonne-energie en de onderdelen daarvan. Checklists opstellen voor de inspectie en monitoring van voltooide projecten voor de installatie van zonne-energie.,http://data.europa.eu/esco/skill/c34b06c4-d164-4e49-a784-89d47de42ec2,"ontwerpen van industriële materialen, systemen en producten"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/50b7b13a-4e58-43b8-b7c4-edbd09145798,zorgen voor wilde planten en dieren,released,skill/competence,occupation-specific,,"De zorg voor de flora en fauna, de bomen en planten van het bos en het onderhoud ervan.",http://data.europa.eu/esco/skill/888f286e-272f-4e54-8a3b-9fa391870618 | http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,"gewassen, andere planten en bomen planten, snoeien en oogsten | manieren toepassen om de biodiversiteit en het dierenwelzijn te bevorderen"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/50e6eba0-4440-4ba5-bb58-3ee78a96e29b,hydro-elektrische energie,released,knowledge,cross-sector,hydro-elektriciteit | waterkracht,"De opwekking van elektriciteit met waterkracht, waarbij gebruik wordt gemaakt van de kracht van stromend water, en de voor- en nadelen van het gebruik van waterkracht als hernieuwbare energiebron.",http://data.europa.eu/esco/isced-f/0713,elektriciteit en energie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/51399b1c-15d6-4e4c-8673-30c25a094fce,duurzame verpakkingen promoten,released,skill/competence,occupation-specific,,Pas een veilig en gezond verpakkingsbeleid toe; haal het meest uit het gebruik van gerecyclede materialen of afkomstig van hernieuwbare energieën; implementeer schone productietechnieken.,http://data.europa.eu/esco/skill/4c3ab565-747c-4db3-8c47-79e8d6f98cf4 | http://data.europa.eu/esco/skill/fb01d224-882a-4346-99e2-bfd56f52d09c,"manieren vinden om de negatieve gevolgen van consumptie te verminderen | promoten, verkopen en inkopen"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/519e5731-4d6c-4f98-938e-0976a202c6ba,verwerking van gevaarlijk afval,released,knowledge,cross-sector,verwerking van schadelijk afval | verwerking van schadelijke afvalstoffen | verwerking van gevaarlijke afvalstoffen,"De methoden die worden toegepast bij de verwerking en de verwijdering van gevaarlijke afvalstoffen, waaronder asbest, gevaarlijke chemicaliën en diverse andere verontreinigende stoffen, alsmede de milieuwet- en regelgeving in de omgeving.",http://data.europa.eu/esco/isced-f/1021,openbare reinigingsdiensten en sanitaire voorzieningen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5206a9b8-8337-4f0b-ae00-163a2f55d8cf,zorg dragen voor behandeling van afvalwater,released,skill/competence,cross-sector,afvalwater behandelen,Voer de behandeling van afvalwater uit volgens de voorschriften voor de controle op biologisch afval en chemisch afval.,http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"bedienen van systemen en apparatuur voor de verwerking van aardolie, chemicaliën en water"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/52242966-692f-4a4f-8279-cadbc7874183,windturbines inspecteren,released,skill/competence,cross-sector,windmolens inspecteren,Routine-inspecties uitvoeren op windturbines door op de turbines te klimmen en zorgvuldig alle onderdelen te inspecteren om eventuele problemen op te sporen en te beoordelen of reparaties moeten worden uitgevoerd.,http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,houten en metalen onderdelen installeren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5354a726-ee64-4f34-90f8-8436f9f374b8,ecologische gegevens analyseren,released,skill/competence,cross-sector,ecologische data analyseren,Het analyseren en interpreteren van ecologische en biologische gegevens met behulp van gespecialiseerde softwareprogramma’s.,http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d | http://data.europa.eu/esco/skill/a571ae14-3e16-4fd3-a615-5646e0b0b696 | http://data.europa.eu/esco/skill/57231a22-4da7-49c8-97b8-75672feadf1e | http://data.europa.eu/esco/skill/36ff57b0-637d-4a83-a0e8-d14f86f9f078,analyseren van wetenschappelijk en medische gegevens | gegevens inspecteren | kwantitatieve gegevens beheren | wetenschappelijke gegevens analyseren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5368a46a-54b5-4874-a06f-964d557c1cfb,strategieën voor groene ruimten,released,knowledge,cross-sector,,"De visie van de overheid op het gebruik zijn groene ruimte. Deze omvat de doelstellingen, de middelen, de methoden, het wetgevingskader en de tijd die nodig is om deze doelstellingen te verwezenlijken. ",http://data.europa.eu/esco/isced-f/0731,architectuur en stadsplanning
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/53af2b85-fac4-4c3f-afe2-44aa4a545ff3,rivieren en stromen beheren,released,skill/competence,occupation-specific,,Bescherm en beheer van rivieren en stromen als leefgebieden voor forel en zalm.,http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,naleven van wetten en normen op het gebied van milieubescherming
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/53d89f4e-c819-490d-ad32-fed731f32639,locaties voor parken op zee onderzoeken,released,skill/competence,sector-specific,,"Onderzoek ter plaatse verrichten, met gebruikmaking van oceanografische informatie, om verschillende locaties te evalueren die geschikt zouden kunnen zijn voor de aanleg van energieparken op zee, alsook vervolgonderzoek op de locatie verrichten om te helpen bij de ontwikkeling van bouwplannen.
	",http://data.europa.eu/esco/skill/3eef7ff2-3ade-41d4-b084-2bd2a3949e1c,beoordelen van grond en onroerend goed
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5483c363-e942-4787-8686-0f29c593357f,verontreiniging vermijden,released,skill/competence,cross-sector,contaminatie vermijden | besmetting vermijden | verontreiniging voorkomen | contaminatie voorkomen | besmetting voorkomen,Vermenging of verontreiniging van materialen vermijden.,http://data.europa.eu/esco/skill/fe317a4c-e4e0-45ee-8b0d-204a68014f9e,beschermen en handhaven
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/54c8490d-067a-40f1-96ca-4960a30d6eb5,als waarnemer deelnemen aan verschillende soorten audits in de voedingsmiddelensector,released,skill/competence,sector-specific,,"Neem regelmatig deel als een waarnemer aan audits op het gebied van efficiëntie, veiligheid, milieu, kwaliteit en voedselveiligheid.",http://data.europa.eu/esco/skill/802deca0-b880-4d1a-b366-e13b27621baf,operationele procedures nakomen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/550ed2f5-be07-4fee-9dbc-0299209a933a,eigenschappen van planten identificeren,released,skill/competence,sector-specific,,"Gewaskenmerken in kaart brengen en classificeren. Verschillende soorten gloeilampen kunnen herkennen aan de hand van de naam, de grootte, de veldmarkeringen en de voorraadmarkeringen",http://data.europa.eu/esco/skill/485b2e3b-f883-46d8-901f-ab521d4f8e58,sorteren van materialen of producten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/55116536-a3e0-4c32-818d-cc567fd3023e,de risico’s bij kapactiviteiten tot een minimum beperken,released,skill/competence,sector-specific,,"Risico’s en gevaren evalueren, efficiënte maatregelen treffen om de risico’s tot een minimum te beperken en de bomen weer in hun oorspronkelijke toestand te brengen of nieuwe te planten.
	",http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af,analyseren en evalueren van informatie en gegevens
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/55a4ae74-45e3-4f5c-8646-17149edfbddb,ecologisch onderzoek uitvoeren,released,skill/competence,cross-sector,ecologisch onderzoek verrichten,"Ecologisch en biologisch onderzoek verrichten op het gebied en onder gecontroleerde omstandigheden, met gebruikmaking van wetenschappelijke methoden en apparatuur.",http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,wetenschappelijk of marktonderzoek uitvoeren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5641a2af-9eb2-4209-9fc6-856f78f2d2f2,wetgeving inzake verontreiniging,released,knowledge,sector-specific,wetgeving inzake vervuiling,Vertrouwd zijn met de Europese en nationale wetgeving met betrekking tot het risico van verontreiniging.,http://data.europa.eu/esco/isced-f/0421,recht
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/564e86a6-0916-44e6-b3d6-d99bc0c1f194,milieu-effecten van pijpleidingsprojecten beperken,released,skill/competence,cross-sector,milieu-effecten van pijpleidingsprojecten verminderen,"Streven naar de beperking van het potentiële effect dat pijpleidingen en goederen die zij vervoeren kunnen hebben op het milieu. Tijd en middelen investeren in de overweging van de milieueffecten van de pijpleiding, de maatregelen die zouden kunnen worden genomen om het milieu te beschermen en de potentiële stijging van de kosten van het project.",http://data.europa.eu/esco/skill/e541c69c-ea80-4b17-87cb-4001d0b9d303 | http://data.europa.eu/esco/skill/d3a8ef9c-8572-438c-91dc-010537070be3 | http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,gevolgen voor het milieu beoordelen | gevolgen voor het milieu beheersen | naleven van wetten en normen op het gebied van milieubescherming
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/579c9e67-fb63-4636-873e-e49649ca2803,subsidiemogelijkheden voor recycling onderzoeken,released,skill/competence,cross-sector,subsidiemogelijkheden voor hergebruik onderzoeken | subsidiemogelijkheden voor recyclage onderzoeken,Doe onderzoek naar de mogelijkheden van afvalcontrole en recycling leningen en toelagen; aanvraagprocedures uitzoeken en voltooien.,http://data.europa.eu/esco/skill/cbe1b24e-00f3-4b17-94e9-1fcd34a11c3e,in kaart brengen van mogelijkheden
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/585593ef-d0a3-47a2-82da-14f26d75d83e,bioveiligheid in biomedische laboratoria,released,knowledge,sector-specific,,"De beginselen en methoden voor het beheer van besmettelijke materialen in de laboratoriumomgeving, bioveiligheidsniveaus, indeling en risicobeoordeling, de pathogeniteit en toxiciteit van een levend organisme en de mogelijke gevaren daarvan, teneinde de risico’s voor de gezondheid van de mens en voor het milieu tot een minimum te beperken.",http://data.europa.eu/esco/skill/01e66e1c-97d9-4829-bee1-f3ab649161e8 | http://data.europa.eu/esco/isced-f/0512 | http://data.europa.eu/esco/skill/8259c2c0-2749-41e2-a4a8-4a64a76eab37,biomedische wetenschappen | biochemie | laboratoriumtechnieken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/589f0d24-0846-4971-bc6c-a42bb274f69a,luchtdicht bouwen,released,knowledge,sector-specific,,"Luchtdicht bouwen houdt in dat ervoor wordt gezorgd dat er geen ongewenste gaten in de gebouwschil ontstaan ​​waardoor lucht in of uit het gebouw kan lekken, en draagt ​​bij aan de energieprestaties.
	",http://data.europa.eu/esco/skill/83fc0b2b-6cd2-46af-b1ff-d3fc83604c26 | http://data.europa.eu/esco/isced-f/0732,energie-efficiëntie | bouw en weg- en waterbouw
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/58c089ab-338b-4e4c-8117-7c1fcc89af69,geschonken goederen in tweedehandswinkels beheren,released,skill/competence,occupation-specific,geschonken goederen in kringloopwinkels beheren,De geschonken goederen coördineren in een tweedehandswinkel; de artikelen selecteren die geschikt zijn voor recyclen of verkoop;,http://data.europa.eu/esco/skill/485b2e3b-f883-46d8-901f-ab521d4f8e58,sorteren van materialen of producten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/59004ee8-3975-4877-bf82-ff0b8070ef28,milieuactieplannen implementeren,released,skill/competence,sector-specific,,"Plannen toepassen die betrekking hebben op het beheer van milieuaangelegenheden in projecten, interventies op de natuurlijke locatie, ondernemingen en andere.",http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d | http://data.europa.eu/esco/skill/b13e0689-636d-42d0-86c3-df9d6f85a882 | http://data.europa.eu/esco/skill/4c3ab565-747c-4db3-8c47-79e8d6f98cf4 | http://data.europa.eu/esco/skill/a6c3bda0-c759-495e-b2c5-062b3abe2097,zorgen voor naleving van de milieuwetgeving | milieubeheersystemen gebruiken | manieren vinden om de negatieve gevolgen van consumptie te verminderen | uitvoeren van nieuwe procedures en processen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5944cee9-763e-4b08-99e4-f514bdde14a6,soorten gevaarlijk afval,released,knowledge,cross-sector,typen gevaarlijke afvalstoffen | soorten schadelijk afval | soorten schadelijke afvalstoffen | typen gevaarlijk afval | soorten gevaarlijke afvalstoffen,"De verschillende soorten afval die risico’s vormen voor het milieu, de volksgezondheid of de veiligheid, waaronder radioactief afval, chemicaliën en oplosmiddelen, elektronica en kwikhoudend afval.",http://data.europa.eu/esco/isced-f/1021,openbare reinigingsdiensten en sanitaire voorzieningen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/59998878-fa14-458a-9085-06b45e89df1b,soorten warmtepompen,released,knowledge,sector-specific,,"Verschillende soorten warmtepompen die worden ingezet voor het produceren van verwarming, koeling en drinkwater door een energiebron met een lage temperatuur te gebruiken en deze naar een hogere temperatuur te brengen.
	",http://data.europa.eu/esco/isced-f/0713,elektriciteit en energie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5aec5b83-df71-483e-90b9-21e56a0a3cb2,vervuiling meten,released,skill/competence,sector-specific,vervuiling onderzoeken,"Verontreinigingsmetingen uitvoeren om na te gaan of de voorgeschreven grenswaarden voor vervuilende stoffen in acht zijn genomen. De ontstekingssystemen en uitlaatpaden van gasboilers, luchtverwarmingsapparaten en soortgelijke apparatuur controleren.",http://data.europa.eu/esco/skill/ab75d510-ac75-482d-b671-bb3bad741f07 | http://data.europa.eu/esco/skill/23d7bd85-d8d5-4455-b64d-3b0998f2425d,werkgerelateerde metingen uitvoeren | meten van afmetingen en bijbehorende eigenschappen
